                                                filename                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              matched_keywords
 documents_TextDaten2023-07-15-2023-09-15.txt_5_5588.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
documents_TextDaten2018-04-01-2018-05-01.txt_11_4731.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Schwangerschaftsabbruch]
 documents_TextDaten2019-04-01-2019-05-01.txt_3_4811.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Schwangerschaftsabbruch, Abtreibung, abgetrieben, Schwangerschaft, Schwanger, ungeborenes Kind, Selbstbestimmungsrecht, Lebensschutz, Pro Familia]
documents_TextDaten2019-02-01-2019-03-01.txt_11_4792.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Frauenrechte]
 documents_TextDaten1977-11-01-1977-12-01.txt_7_2915.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Schwangerschaft]
documents_TextDaten2019-07-01-2019-10-01.txt_11_5268.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [reproduktive Rechte, Frauenrechte]
 documents_TextDaten1978-10-01-1978-11-01.txt_3_2929.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Schwangerschaft]
 documents_TextDaten2018-06-01-2018-06-15.txt_5_4746.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Frauenrechte]
 documents_TextDaten1980-01-01-1980-02-01.txt_9_2950.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
documents_TextDaten1970-04-01-1970-05-01.txt_15_3422.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
 documents_TextDaten1989-10-15-1989-11-01.txt_5_2257.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Schwangerschaft]
 documents_TextDaten2023-01-15-2023-02-15.txt_5_5548.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Legalisierung]
 documents_TextDaten2001-06-15-2001-07-15.txt_9_1305.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
documents_TextDaten1960-05-01-1960-06-01.txt_13_4135.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
 documents_TextDaten1982-07-01-1982-09-15.txt_5_2557.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
 documents_TextDaten1985-01-01-1985-02-01.txt_3_2345.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Selbstbestimmungsrecht, Lebensschutz]
 documents_TextDaten2006-01-15-2006-02-15.txt_3_3618.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Memmingen]
documents_TextDaten2009-02-15-2009-04-15.txt_13_2400.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Frauenrechte]
 documents_TextDaten1975-10-01-1975-11-01.txt_1_3318.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Legalisierung]
 documents_TextDaten1998-04-15-1998-05-15.txt_5_1728.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Legalisierung]
documents_TextDaten1978-12-01-1979-01-01.txt_11_2961.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Memmingen]
documents_TextDaten2020-01-01-2020-03-01.txt_15_5302.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [psychologische Betreuung, Selbstbestimmungsrecht]
 documents_TextDaten2002-04-01-2002-06-01.txt_7_1375.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [Schwangerschaft, Schwanger]
 documents_TextDaten2018-12-01-2019-02-01.txt_1_4791.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Beratungspflicht]
 documents_TextDaten2019-12-01-2020-01-01.txt_3_5298.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Entkriminalisierung, Legalisierung]
 documents_TextDaten1995-03-15-1995-04-15.txt_3_1482.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Selbstbestimmungsrecht]
 documents_TextDaten1992-01-01-1992-02-01.txt_3_1843.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Legalisierung]
 documents_TextDaten1975-02-01-1975-03-01.txt_5_3272.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Schwangerschaft]
 documents_TextDaten1987-12-01-1988-01-01.txt_3_2084.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [§ 218, Schwangerschaft, Selbstbestimmungsrecht, Pro Familia]
 documents_TextDaten2023-07-15-2023-09-15.txt_3_5589.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [Schwangerschaftsabbruch, Abtreibung, Legalisierung]
 documents_TextDaten2019-12-01-2020-01-01.txt_9_5295.txt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Frauenrechte]
